team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_SouthAtlantic_Hagerstown,2017,NL,WSH,South Atlantic,Hagerstown,A,MiLB,Hagerstown_MD_US,Hagerstown,MD,US,39.641922,-77.720264
2016_PacificCoast_Nashville,2017,AL,OAK,Pacific Coast,Nashville,AAA,MiLB,Nashville_TN_US,Nashville,TN,US,36.16223,-86.774353
2016_Midwest_WestMichigan,2017,AL,DET,Midwest,West Michigan,A,MiLB,ComstockPark_MI_US,Comstock Park,MI,US,39.78373,-100.445882
2016_Midwest_GreatLakes,2017,NL,LAD,Midwest,Great Lakes,A,MiLB,Midland_MI_US,Midland,MI,US,35.227366,-80.500622
2016_Eastern_NewHampshire,2017,AL,TOR,Eastern,New Hampshire,AA,MiLB,Manchester_NH_US,Manchester,NH,US,42.99564,-71.454789
2016_PacificCoast_NewOrleans,2017,NL,MIA,Pacific Coast,New Orleans,AAA,MiLB,NewOrleans_LA_US,New Orleans,LA,US,29.949932,-90.070116
2016_International_Norfolk,2017,AL,BAL,International,Norfolk,AAA,MiLB,Norfolk_VA_US,Norfolk,VA,US,36.846288,-76.292925
2016_Midwest_Beloit,2017,AL,OAK,Midwest,Beloit,A,MiLB,Beloit_MI_US,Beloit,MI,US,39.458684,-98.108282
2016_Pioneer_Ogden,2017,NL,LAD,Pioneer,Ogden,Rk,MiLB,Ogden_UT_US,Ogden,UT,US,41.223005,-111.973843
2016_Pioneer_GreatFalls,2017,AL,CWS,Pioneer,Great Falls,Rk,MiLB,GreatFalls_MT_US,Great Falls,MO,US,47.504885,-111.291891
2016_PacificCoast_Omaha,2017,AL,KC,Pacific Coast,Omaha,AAA,MiLB,Omaha_NE_US,Omaha,NE,US,41.258732,-95.937873
2016_Pioneer_Orem,2017,AL,LAA,Pioneer,Orem,Rk,MiLB,Orem_UT_US,Orem,UT,US,40.297519,-111.694468
2016_DominicanSummer_Orioles,2017,AL,BAL,Dominican Summer,Orioles,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_GulfCoast_Orioles,2017,AL,BAL,Gulf Coast,Orioles,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_DominicanSummer_Padres,2017,NL,SD,Dominican Summer,Padres,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Arizona_Padres1,2017,NL,SD,Arizona,Padres 1,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_Arizona_Padres2,2017,NL,SD,Arizona,Padres 2,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_FloridaState_PalmBeach,2017,NL,STL,Florida State,Palm Beach,A+,MiLB,PalmBeach_FL_US,Palm Beach,FL,US,26.705565,-80.03647
2016_International_Charlotte,2017,AL,CWS,International,Charlotte,AAA,MiLB,Charlotte_NC_US,Charlotte,NC,US,35.227087,-80.843127
2016_Southern_Pensacola,2017,NL,CIN,Southern,Pensacola,AA,MiLB,Pensacola_FL_US,Pensacola,FL,US,30.421309,-87.216915
2016_Midwest_Peoria,2017,NL,STL,Midwest,Peoria,A,MiLB,Peoria_IL_US,Peoria,IL,US,40.693861,-89.589101
2016_GulfCoast_Phillies,2017,NL,PHI,Gulf Coast,Phillies,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_DominicanSummer_PhilliesRed,2017,NL,PHI,Dominican Summer,Phillies Red,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Carolina_Winston-Salem,2017,AL,CWS,Carolina,Winston-Salem,A+,MiLB,Winston-Salem_NC_US,Winston-Salem,NC,US,36.099817,-80.244144
2016_Appalachian_Burlington,2017,AL,KC,Appalachian,Burlington,Rk,MiLB,Burlington_NC_US,Burlington,NC,US,36.095692,-79.437799
2016_Carolina_Wilmington,2017,AL,KC,Carolina,Wilmington,A+,MiLB,Wilmington_NC_US,Wilmington,NC,US,34.225728,-77.944711
2016_Carolina_DownEast,2017,AL,TEX,Carolina,Down East,A+,MiLB,Kinston_NC_US,Kinston,NC,US,35.262664,-77.581635
2016_Eastern_Trenton,2017,AL,NYY,Eastern,Trenton,AA,MiLB,Trenton_NJ_US,Trenton,NJ,US,40.217058,-74.742946
2016_NewYork-Pennsylvania_Tri-City,2017,AL,HOU,New York-Pennsylvania,Tri-City,A-,MiLB,Troy_NY_US,Troy,NY,US,42.728412,-73.691785
2016_Appalachian_Pulaski,2017,AL,NYY,Appalachian,Pulaski,Rk,MiLB,Pulaski_VA_US,Pulaski,VA,US,37.047898,-80.779793
2016_NewYork-Pennsylvania_Batavia,2017,NL,MIA,New York-Pennsylvania,Batavia,A-,MiLB,Batavia_NY_US,Batavia,NY,US,42.998014,-78.187551
2016_California_RanchoCucamonga,2017,NL,LAD,California,Rancho Cucamonga,A+,MiLB,RanchoCucamonga_CA_US,Rancho Cucamonga,CA,US,34.103319,-117.575173
2016_Arizona_Rangers,2017,AL,TEX,Arizona,Rangers,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Rangers1,2017,AL,TEX,Dominican Summer,Rangers 1,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Rangers2,2017,AL,TEX,Dominican Summer,Rangers 2,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_GulfCoast_Rays,2017,AL,TB,Gulf Coast,Rays,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_DominicanSummer_Rays1,2017,AL,TB,Dominican Summer,Rays 1,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Rays2,2017,AL,TB,Dominican Summer,Rays 2,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Eastern_Reading,2017,NL,PHI,Eastern,Reading,AA,MiLB,Reading_PA_US,Reading,PA,US,40.335345,-75.927949
2016_DominicanSummer_RedSox,2017,AL,BOS,Dominican Summer,Red Sox,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_GulfCoast_RedSox,2017,AL,BOS,Gulf Coast,Red Sox,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_Arizona_Reds,2017,NL,CIN,Arizona,Reds,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Reds,2017,NL,CIN,Dominican Summer,Reds,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_PacificCoast_Reno,2017,NL,ARI,Pacific Coast,Reno,AAA,MiLB,Reno_NV_US,Reno,NV,US,39.52927,-119.813674
2016_Eastern_Richmond,2017,NL,SF,Eastern,Richmond,AA,MiLB,Richmond_VA_US,Richmond,VA,US,37.538509,-77.43428
